Id,Año,Mes,Día,Rango de hora,Sexo,Rango de edad,Lugar,Provincia
1,2011,Enero,Domingo, 6:00-11:59,Mujer,9-May,Río,San Cristóbal
2,2011,Enero,Domingo, 6:00-11:59,Hombre,75-79,Río,Santiago
3,2011,Enero,Miércoles, 6:00-11:59,Hombre,80 y mas,Río,Santiago
4,2011,Enero,Jueves,18:00-23:59,Hombre,N/D,Río,San Juan
5,2011,Enero,Sábado, 6:00-11:59,Hombre,N/D,Canal,Santiago
6,2011,Enero,Lunes,0:00-05:59,Hombre,14-Oct,Mar,Santo Domingo
7,2011,Enero,Lunes,12:00-17:59,Hombre,15-19,Río,Santo Domingo
8,2011,Enero,Jueves, 6:00-11:59,Hombre,30-34,Mar,Santo Domingo
9,2011,Enero,Jueves, 6:00-11:59,Hombre,35-39,Río,La Altagracia
10,2011,Enero,Sábado,18:00-23:59,Hombre,35-39,Río,Santo Domingo
11,2011,Enero,Domingo,12:00-17:59,Hombre,0-4,Cisterna,La Altagracia
12,2011,Enero,Domingo,12:00-17:59,Hombre,40-44,Mar,La Altagracia
13,2011,Enero,Lunes,12:00-17:59,Hombre,9-May,Cisterna,Santo Domingo
14,2011,Enero,Lunes,12:00-17:59,Hombre,0-4,Cisterna,Santo Domingo
15,2011,Enero,Martes,12:00-17:59,Mujer,0-4,Río,Monte Plata
16,2011,Enero,Jueves, 6:00-11:59,Hombre,25-29,Pozo,Santo Domingo
17,2011,Enero,Jueves,12:00-17:59,Hombre,55-59,Mar,Puerto Plata
18,2011,Enero,Domingo,12:00-17:59,Hombre,25-29,Río,Valverde
19,2011,Enero,Domingo,12:00-17:59,Hombre,15-19,Río,San Pedro de Macorís
20,2011,Enero,Lunes,18:00-23:59,Hombre,14-Oct,Río,Peravia
21,2011,Enero,Jueves, 6:00-11:59,Mujer,70-74,Canal,San Juan
22,2011,Enero,Viernes,18:00-23:59,Mujer,30-34,Piscina,Azua
23,2011,Enero,Viernes,18:00-23:59,Hombre,35-39,Río,Santiago
24,2011,Enero,Sábado,12:00-17:59,Hombre,9-May,Otros,San Pedro de Macorís
25,2011,Enero,Lunes,12:00-17:59,Hombre,0-4,Cubeta,La Vega
26,2011,Febrero,Lunes, 6:00-11:59,Hombre,40-44,Otros,Santiago Rodriguez
27,2011,Febrero,Miércoles, 6:00-11:59,Hombre,70-74,Río,Santiago
28,2011,Febrero,Jueves,12:00-17:59,Hombre,25-29,Río,Hato Mayor
29,2011,Febrero,Domingo, 6:00-11:59,Hombre,25-29,Cisterna,Santo Domingo
30,2011,Febrero,Domingo,18:00-23:59,Hombre,N/D,Río,Monte Plata
31,2011,Febrero,Lunes,0:00-05:59,Mujer,0-4,Mar,Distrito Nacional
32,2011,Febrero,Lunes,12:00-17:59,Mujer,60-64,Piscina,Peravia
33,2011,Febrero,Lunes,18:00-23:59,Mujer,15-19,Cisterna,San Cristóbal
34,2011,Febrero,Martes,12:00-17:59,Hombre,60-64,Mar,Puerto Plata
35,2011,Febrero,Domingo,12:00-17:59,Hombre,15-19,Río,Santo Domingo
36,2011,Febrero,Domingo,18:00-23:59,Hombre,N/D,Mar,San Cristóbal
37,2011,Marzo,Martes, 6:00-11:59,Hombre,N/D,Mar,Barahona
38,2011,Marzo,Martes,18:00-23:59,Hombre,0-4,Otros,Santiago
39,2011,Marzo,Miércoles, 6:00-11:59,Mujer,15-19,Río,Distrito Nacional
40,2011,Marzo,Jueves,12:00-17:59,Hombre,20-24,Mar,Santo Domingo
41,2011,Marzo,Jueves,12:00-17:59,Hombre,20-24,Río,Espaillat
42,2011,Marzo,Viernes,12:00-17:59,Hombre,14-Oct,Canal,Bahoruco
43,2011,Marzo,Viernes,12:00-17:59,Hombre,9-May,Otros,Duarte
